# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Electrical  (Brown) 
"# Rows: 173, Cols: 16384"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,WBS,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
EL-06-0001,,LV POWER CABLE,"Four core cables , Ph+N+PE-2.5 mm2",Contractor,lm,,,,1200,,,,,,,,,,,,9.52380952380952
EL-06-0002,,LV POWER CABLE,"Three core cables , Ph+N+PE-4 mm2",Contractor,lm,,,,1000,,,,,,,,,,,,9.52380952380952
EL-06-0003,,LV POWER CABLE,"Three core cables , Ph+N+PE-6 mm2",,lm,,,,,,,,,,,,,,,,0
EL-06-0004,,LV POWER CABLE,"Three core cables ,  Ph+N+PE-16 mm2",,lm,,,,,,,,,,,,,,,,0
EL-06-0005,,LV POWER CABLE,"Three core cables ,  Ph+N+PE-35 mm2",,lm,,,,,,,,,,,,,,,,0
EL-06-0006,,LV POWER CABLE,"Five core cables ,  3Ph+N+PE-4 mm2",,lm,,,,,,,,,,,,,,,,0
EL-06-0007,,LV POWER CABLE,"Five core cables ,  3Ph+N+PE-16 mm2",Contractor,lm,,,,1000,,,,,,,,,,,,12.6984126984127
EL-07,,,CABLE GLAND & JUNCTION BOX,,,,,,,,,,,,,,,,,,0
EL-07-0001,,," INDOOR , NON-HAZARDOUS AREA ,INDUSTRIAL TYPE, , ISO METRIC THREADS, MATERIAL: NICKEL PLATED BRASS or STAINLESS STEEL, WITH SHROUD, LOCKNUT,  EARTH TAG AND NYLON WASHER, SUITABLE FOR GALVANIZED STEEL WIRE ARMOURED MULTI CORE CABLE",,,,,,,,,,,,,,,,,,0
,,CABLE GLAND,M20A,,ea,,,,,,,,,,,,,,,,0
,,CABLE GLAND,M25,Contractor,ea,,2,4,,,,,,,,,,,,,34.9206349206349
,,CABLE GLAND,M32,,ea,,,,,,,,,,,,,,,,0
,,CABLE GLAND,M40,,ea,,,,,,,,,,,,,,,,0
,,CABLE GLAND,M50,,ea,,,,,,,,,,,,,,,,0
,,CABLE GLAND,M63,Contractor,ea,,,48,,,,,,,,,,,,,76.1904761904762
,,CABLE GLAND,M75,,ea,,,,,,,,,,,,,,,,0
,,CABLE GLAND,M40,,ea,,,,,,,,,,,,,,,,0
EL-07-0004,,,"CABLE GLANDS,ZONE 2, IIB, T3,  EX TYPE, METRIC , DOUBLE COMPRESSION TYPE , IP65, MATERIAL: NICKEL PLATED BRASS, WITH SHROUD, LOCKNUT,  EARTH TAG AND NYLON WASHER",,,,,,,,,,,,,,,,,,0
,,CABLE GLAND,M25,,ea,,,,,,,,,,,,,,,,0
,,CABLE GLAND,M32,Contractor,ea,,,,30,,,,,,,,,,,,34.9206349206349
,,CABLE GLAND,M40,Contractor,ea,,,,20,,,,,,,,,,,,55.5555555555556
,,CABLE GLAND,M50,Contractor,ea,,,,20,,,,,,,,,,,,55.5555555555556
,,CABLE GLAND,M63,Contractor,ea,,,,10,,,,,,,,,,,,76.1904761904762
,,CABLE GLAND,M75,,ea,,,,,,,,,,,,,,,,0
EL-07-0006,,,"JUNCTION BOX OUTDOOR , ZONE 2, IIB, T3, EEx ""e"", IP65,230V,1PHASE , COMPLETE WITH COVER PLATE AND MOUNTING ACCESSORIES, MATERIAL: METALLIC OR GRP , WITH INTERNAL AND EXTERNAL EARTH STUDS",,,,,,,,,,,,,,,,,,0
,,JUNCTION BOX ,4 ENTRY M25 FOR 3X2.5mm2 CABLE,Contractor,ea,,,,30,,,,,,,,,,,,26.984126984127
