# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Piping (Green）
"# Rows: 251, Cols: 26"







No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
Supply by","SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,,,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f

AP-01,,Connection Joints
AP-02-02,,Globe valve,,,,,0,,,,,,,,,,,,,0
AP-02-02-0001,Globe valve,"Globe Vlv ,ASME B16.34/ API 623 ,CL 300 ,RF ,BB,OS&Y,Y PATN ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,2,CL300,FLGD,PCS,,,,,,,,,,,,158.730158730159
AP-02-02-0002,Globe valve,"Globe Vlv ,ASME B16.34/ API 623 ,CL 300 ,RF ,BB,OS&Y ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,SWIVEL PLUG DISC,ASME B16.5",CS,Contractor,2,CL300,FLGD,PCS,,,,,,,,,,,,158.730158730159
AP-02-02-0003,Globe valve,"Globe Vlv ,API 602/ASME B16.34 ,CL 300 ,RF ,BB,OS&Y,Swivel Plug Disc ,Handwheel ,A105N ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,1,CL300,FLGD,PCS,,,,,,,,,,,,79.3650793650794
AP-02-02-0004,Globe valve,"Globe Vlv ,ASME B16.34/ API 623 ,CL 150 ,RF ,BB,OS&Y,Y PATN ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,4,CL150,FLGD,PCS,,,,,,,,,,,,317.460317460317
AP-02-02-0005,Globe valve,"CL.800, SW TO B16.11, SWIVEL PLUG DISC, Y-PATTERN,BOLTED BONNET,HANDWHEEL API 602 + ASME B16.34 BODY: ASTM A105N TRIM: 13Cr +HF",CS,Contractor,1,CL800,FLGD,PCS,,,,,,,,,,,,79.3650793650794
,,,,,,,0,,,,,,,,,,,,,0
AP-02-03,,Check valve,,,,,0,,,,,,,,,,,,,0
AP-02-03-0001,Check valve,"Swing Check Valve ,API 6D ,CL 300 ,RF ,BC,Swing ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8)",CS,Contractor,3,CL300,FLGD,PCS,,,,,,,,,,,,253.968253968254
AP-02-03-0002,Check valve,"CL.150, FLGD TO B16.5, SPRING LOADED LIFT
CHECK, BOLTED COVER BS1868 + ASME B16.34 BODY: ASTM A105N TRIM:13Cr+HF",CS,Contractor,1,CL150,FLGD,PCS,,,,,,,,,,,,79.3650793650794
,,,,,,,0,,,,,,,,,,,,,0
AP-02-04,,Plug valve,,,,,0,,,,,,,,,,,,,0
