,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,CODE:24108-25100-,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,
Item,Category,Description,Unit,"Qty.
","QUANTITIES
 BY WBS",,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,
,,,,,"UNIT 40 
Conveyor",UNIT 50,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
5.2,PVC Conduit,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
5.3,PIPE SLEEVING,Galvanize PIPE SLEEVING ,M,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
5.4,Duck bank Pipe Cap,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,5,,5,12.305,61.525,13.2894,66.447,674.243657407407,3371.21828703704,53.9394925925926,269.697462962963,0.56175,2.80875,742.025185185185,3710.12592592593,,
5.5,Cable Ditch,UG ELECTRICAL/INSTRUCTUMENT CONCRETE CABLE TRENCH,M3,20,20,,196.057685185185,3921.1537037037,211.7423,4234.846,2510.46273148148,50209.2546296296,200.837018518519,4016.74037037037,0,0,2923.04185185185,58460.837037037,,
5.6,Cable Ditch,DRAINAGE DITCH 1.2m(W)x1.0m(D),M,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
5.7,Cable Trench,"UG ELECTRICAL CONCRETE CABLE TRENCH EXCAVATION
(to be provided by EE)",M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
5.8,Cable Trench,"UG ELECTRICAL/INSTRUCTUMENT  BURIED CABLE TRENCH EXCAVATION
(to be provided by EE)",M3,600,600,,3.05148148148148,1830.88888888889,3.2956,1977.36,30.2275,18136.5,2.4182,1450.92,27.61135,16566.81,63.5510648148148,38130.6388888889,,
5.9,Cable Trench,"UG ELECTRICAL DUCKBANK & PULL PIT EXCAVATION
(to be provided by EE)",M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
5.1,Cable Trench,"UG INSTRUCTUMENT CONCRETE CABLE TRENCH EXCAVATION
(to be provided by EE)",M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
5.11,Cable Trench,"UG INSTRUCTUMENT BURIED CABLE TRENCH EXCAVATION
(to be provided by EE)",M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
5.12,Cable Trench,"UG INSTRUCTUMENT DUCT BANK & PULL PIT EXCAVATION
(to be provided by EE)",M3,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,
