# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Electrical (Green）
"# Rows: 321, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,0
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
EL-03-0010,,LIGHTING FIXTURE,"38W,LED Square Light Fitting(Emergency with 1.5 hour battery backup), Weatherproof, recessed mount",,Contractor,set,25,,5,20,,,10.856,271.4,478.09824,11952.456,0,0,56.6610004705882,1416.5250117647,159.550551470588,3988.7637867647,694.309791941176,17357.7447985294,
EL-03-0011,,LIGHTING FIXTURE,"63W,LED Linear Light Fitting, Weatherproof, Pendant mount/ceiling mount/recessed mount",,Contractor,set,110,110,,,,,10.856,1194.16,478.09824,52590.8064,0,0,56.6610004705882,6232.7100517647,159.550551470588,17550.5606617647,694.309791941176,76374.0771135294,
EL-03-0012,,LIGHTING FIXTURE,"63W, LED Linear Light Fitting(Emergency with 1.5 hour battery backup), Weatherproof, Pendant mount/ceiling mount/recessed mount",,Contractor,set,40,40,,,,,10.856,434.24,478.09824,19123.9296,0,0,56.6610004705882,2266.44001882353,159.550551470588,6382.02205882352,694.309791941176,27772.391677647,
EL-03-0013,,LIGHTING FIXTURE,"54W,LED Linear Light Fitting, Weatherproof, Pendant mount/ceiling mount/recessed mount.EEx(d) type suitable for zone1 Group IICT4, IP67. With gland and junction box.",,Contractor,set,16,10,,6,,,13.524,216.384,595.59696,9529.55136,0,0,73.1818724705882,1170.90995952941,192.324191176471,3077.18705882354,861.103023647059,13777.6483783529,
EL-03-0014,,LIGHTING FIXTURE,"54W, LED Linear Light Fitting(Emergency with 1.5 hour battery backup), Weatherproof, Pendant mount/ceiling mount/recessed mount.EEx(d) type suitable for zone1 Group IICT4, IP67. With gland and junction box.",,Contractor,set,8,5,,3,,,13.524,108.192,595.59696,4764.77568,0,0,73.1818724705882,585.454979764706,192.324191176471,1538.59352941177,861.103023647059,6888.82418917647,
EL-03-0015,,LIGHTING FIXTURE,"12W,LED Light Fitting, Weatherproof, Pendant mount/ceiling mount/recessed mount (Emergency with 1.5 hour battery backup)",,Contractor,set,14,10,2,2,,,7.176,100.464,316.03104,4424.43456,0,0,40.5622216470588,567.871103058823,105.579963235294,1478.11948529412,462.173224882353,6470.42514835294,
EL-03-0016,,LIGHTING FIXTURE,Exit Lighting Fitting (LED TYPE) with 1.5 Hours battery backup,,Contractor,set,33,20,3,10,,,7.176,236.808,316.03104,10429.02432,0,0,40.5622216470588,1338.55331435294,105.579963235294,3484.1387867647,462.173224882353,15251.7164211176,
EL-03-0017,,LIGHTING FIXTURE,"150W,LED Flood Lighting,Indutrial Type, Pole
mount,height is 6m,EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,Contractor,set,90,,,,90,,14.72,1324.8,648.2688,58344.192,0,0,79.4205270588235,7147.84743529411,219.363455882353,19742.7110294118,947.052782941177,85234.7504647059,
EL-03-0018,,LIGHTING FIXTURE,"150W,LED Street Lighting,Indutrial Type, Pole
mount,height is 10m,EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,Contractor,set,120,,,,120,,14.72,1766.4,648.2688,77792.256,0,0,79.4205270588235,9530.46324705882,219.363455882353,26323.6147058824,947.052782941177,113646.333952941,
EL-03-0019,,CONVENIENCE RECEPTACLE,"Convenience Outlets - for Hazardous Area
240V, 16A, 3 poles (Phase, Neutral and Earth), suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP65 , switched socket outlets complete with plugs
",,Contractor,set,40,,,,10,30,2.392,95.68,105.34368,4213.7472,0,0,17.5505444705882,702.021778823528,31.3569117647059,1254.27647058824,154.251136235294,6170.04544941176,
