# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: Fire Fighting (Green）
"# Rows: 158, Cols: 31"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
Supply by","SIZE
(NPS)",SCH / Rating,Joint Type,Material Supplied By,UNIT,Qty.,QUANTITY,,,,,Weight (t),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,,,,"UNIT 10 
SUB 
Station","UNIT 10 
Operations
Sehlter","UNIT 10 
NCR","UNIT 10 
General",UNIT 20,Unit,Total,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
Firefighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF-01,,Connection Joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF-02-01-0013,ALARM CHECK VALVE,"i. An Alarm Check Valve Complete with Trim Kits & Retarding Device.   
ii. A Water Motor Alarm Gong.
iii. An Electric Alarm Pressure Switch.
iv. Pressure Gauges with a Control Valve (Gauge Cock) Having Drain Arrangement (Upstream & Downstream) 
v. 2"" Main Drain Valve
vi. 20 mm Bypass Line (Upstream to Downstream of ACV)
vii. Inspector's Test Connection
viii. Isolation Valves",CS,Contractor,4,,FLGD,,ea,1,1,,,,,,,23.828,23.828,1049.38512,1049.38512,0,0,210.253609176471,210.253609176471,85.7592647058823,85.7592647058823,1345.39799388235,1345.39799388235,
FF-02-01-0014,ALARM CHECK VALVE,"i. An Alarm Check Valve Complete with Trim Kits & Retarding Device.   
ii. A Water Motor Alarm Gong.
iii. An Electric Alarm Pressure Switch.
iv. Pressure Gauges with a Control Valve (Gauge Cock) Having Drain Arrangement (Upstream & Downstream) 
v. 2"" Main Drain Valve
vi. 20 mm Bypass Line (Upstream to Downstream of ACV)
vii. Inspector's Test Connection
viii. Isolation Valves",CS,Contractor,3,,FLGD,,ea,1,,,1,,,,,21.252,21.252,935.93808,935.93808,0,0,182.567647294118,182.567647294118,76.6544264705882,76.6544264705882,1195.16015376471,1195.16015376471,
FF-02-01-0015,DELUGE VALVE,"4""Deluge Valve with trim connections, local & control room remote operated, UL/FM,UL listed and FM approved.",CS,Contractor,4,,FLGD,,ea,8,8,,,,,,,30.268,242.144,1333.00272,10664.02176,0,0,268.708937411765,2149.67149929412,148.284191176471,1186.27352941177,1749.99584858824,13999.9667887059,
FF-02-01-0016,DELUGE VALVE,"6""Deluge Valve with trim connections, local & control room remote operated, UL/FM,UL listed and FM approved.",CS,Contractor,6,,FLGD,,ea,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
FF-02-01-0017,DELUGE VALVE,"10""Deluge Valve with trim connections, local & control room remote operated, UL/FM,UL listed and FM approved.",CS,Contractor,10,,FLGD,,ea,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
FF-02-01-0018,Automatic Reducing Valve,Automatic Reducing Valve,CS,Contractor,1,,,,ea,1,,,1,,,,,3.22,3.22,141.8088,141.8088,0,0,49.2280847058824,49.2280847058824,2.92790441176471,2.92790441176471,193.964789117647,193.964789117647,
FF-02-01-0019,Pressure gauge,Pressure gauge,CS,Contractor,1,,,,ea,1,,,1,,,,,1.5456,1.5456,68.068224,68.068224,0,0,15.4993512470588,15.4993512470588,2.26676470588235,2.26676470588235,85.8343399529411,85.8343399529411,
FF-02-01-0020,AIR RELEASE VALVE,AIR RELEASE VALVE,CS,Contractor,4,,FLGD,,ea,8,8,,,,,,,9.04176,72.33408,398.1991104,3185.5928832,0,0,112.575707736471,900.605661891768,5.17577941176471,41.4062352941177,515.950597548236,4127.60478038589,
FF-02-01-0021,AIR RELEASE VALVE,AIR RELEASE VALVE,CS,Contractor,6,,FLGD,,ea,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
FF-02-01-0022,AIR RELEASE VALVE,AIR RELEASE VALVE,CS,Contractor,10,,FLGD,,ea,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
