# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Piping (Green）
"# Rows: 257, Cols: 42"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025",
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,Material Supplied By,"SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,QUANTITY,,,,,,,,,,,QUANTITIES BY WBS -Change Order,,,,,Weight (t),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK,
,,,,,,,,,,"UNIT 10 31
Inslrument & Utlity Air System,
Nitrogen","UNIT 10 23
Process Water System Recovery System","UNIT 10 
Substation","UNIT 10 32
Steam Distribution and
Condensate Recovery System","UNIT 10 
Operations Building","UNIT 10 
Operator
Sehlter","UNIT 10 
LCR","UNIT 10 
General","UNIT 20
AP-01-42,CARBON STEEL,"CS,10,S-20,Butt Weld",CS,Contractor,10,S-20,Butt Weld,Dia-Inch,2066.41025641026,,,,,,,,,,,,,,,,,0.00424,8.7615794871795,5.3668238834925,11090.0599171964,236.35492382901,488406.238753332,,0,50.7379687551987,104845.459025166,23.2091860534708,47959.700103826,310.302078637679,641211.397882324,Jacket quantity deducted,
AP-01-43,CARBON STEEL,"CS,10,S-30,Butt Weld",CS,Contractor,10,S-30,Butt Weld,Dia-Inch,467.140077729353,,,,,,,,,,,,,,,,,0.01111,5.18992626357311,5.981993419545,2794.42887098273,263.446990196762,123066.647478079,,0,56.5537833555969,26418.5387526225,25.8695275378608,12084.6931048579,345.87030109022,161569.87933556,Jacket quantity deducted,
AP-01-44,CARBON STEEL,"CS,10,CL150,Fillet Weld",CS,Contractor,10,CL150,Fillet Weld,Dia-Inch,0,,,,,,,,,,,,,,,,,0.05421,0,4.811050026783,0,211.878643179523,0,,0,45.4836810817354,0,20.8057051261944,0,278.168029387453,0,Jacket quantity deducted,
AP-01-45,CARBON STEEL,"CS,12,S-20,Butt Weld",CS,Contractor,12,S-20,Butt Weld,Dia-Inch,451.692307692308,,,,,,,,,,,,,,,,,0.00255,1.15181538461539,5.3668238834925,2424.15306491292,236.35492382901,106759.700978765,,0,50.7379687551987,22917.9501946559,23.2091860534708,10483.4108081524,310.302078637679,140161.061981573,Jacket quantity deducted,
AP-01-46,CARBON STEEL,"CS,12,S-30,Butt Weld",CS,Contractor,12,S-30,Butt Weld,Dia-Inch,2820.61538461538,,,,,,,,,,,,,,,,,0.0029,8.1797846153846,6.228061233966,17566.9653328511,274.283816743863,773649.153258766,,0,58.8801091957562,166078.141845383,26.9336641316167,75969.5074137015,360.097590071236,1015696.80251785,Jacket quantity deducted,
AP-01-47,CARBON STEEL,"CS,12,S-STD,Butt Weld",CS,Contractor,12,S-STD,Butt Weld,Dia-Inch,84,,,,,,,,,,,,,,,,,0.13301,11.17284,6.7159543142835,564.140162399814,295.770628001045,24844.7327520878,,0,63.4926518098652,5333.38275202868,29.0435901364777,2439.66157146413,388.306869947388,32617.7770755806,,
AP-01-48,CARBON STEEL,"CS,12,S-80,Butt Weld",CS,Contractor,12,S-80,Butt Weld,Dia-Inch,1453.41670643723,,,,,,,,,,,,,,,,,0.22466,326.524597268188,10.088780391261,14663.2019682351,444.309888431134,645767.414681072,,0,95.3793594465316,138625.954468871,43.629600343995,63411.9900351419,583.318848221661,847805.359185084,Jacket quantity deducted,
AP-01-49,CARBON STEEL,"CS,12,CL300,Fillet Weld",CS,Contractor,12,CL300,Fillet Weld,Dia-Inch,0,,,,,,,,,,,,,,,,,0.00725,0,0,0,0,0,,0,0,0,0,0,0,0,Jacket quantity deducted,
AP-01-50,CARBON STEEL,"CS,12,CL150,Fillet Weld",CS,Contractor,12,CL150,Fillet Weld,Dia-Inch,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,Jacket quantity deducted,
AP-01-51,CARBON STEEL,"CS,14,S-20,Butt Weld",CS,Contractor,14,S-20,Butt Weld,Dia-Inch,154,,,,,,,,,,,,,,,,,,,6.032904001839,929.067216283206,265.68909224099,40916.1202051125,,0,57.0350921501127,8783.40419111736,26.0896937296723,4017.81283436953,348.813878120775,53717.3372305994,,
AP-01-52,CARBON STEEL,"CS,14,S-30,Butt Weld",CS,Contractor,14,S-30,Butt Weld,Dia-Inch,1015.21891709221,,,,,,,,,,,,,,,,,,,6.7159543142835,6818.16386618765,295.770628001045,300271.936666904,,0,63.4926518098652,64458.9412137241,29.0435901364777,29485.6021268249,388.306869947388,394216.480007453,,
AP-01-53,CARBON STEEL,"CS,16,S-20,Butt Weld",CS,Contractor,16,S-20,Butt Weld,Dia-Inch,6918.5748471795,,,,,,,,,,,,,,,,,0.01363,94.3001751670566,6.032904001839,41739.0978825719,265.68909224099,1838189.87074847,,0,57.0350921501127,394601.553956335,26.0896937296723,180503.498808727,348.813878120775,2413294.92351353,Jacket quantity deducted,
