1005312 - Ruwais Sulphur Handling Terminal-1 Upgrade for Hail & Ghasha ,,,,,,,,,
EXHIBIT C  - INDEX,,,,,,,,,
Sr. No.,Unit,Discipline,Document Category,Document Number,Revision,Subject,Issue Status,Remarks,
112,00,INSTRUMENTATION,Specification,5312-ADD-SP-04-005,0,EMERGENCY SHUTDOWN AND ON/OFF VALVES SPECIFICATION ADDENDUM TO AGES,IFT,,
113,00,INSTRUMENTATION,Calculation,CA-5312-00-IN-001,0,INSTRUMENT SIZING CALCULATIONS,IFT,,
114,00,INSTRUMENTATION,Design Basis,DB-5312-00-IN-001,1,INSTRUMENT DESIGN BASIS,IFT,,
115,00,INSTRUMENTATION,Report,DI-5312-00-IN-001,0,INSTRUMENT POWER CONSUMPTION,IFT,,
116,00,INSTRUMENTATION,Report,DI-5312-00-IN-002,0,INSTRUMENT AIR & NITROGEN CONSUMPTION,IFT,,
117,00,INSTRUMENTATION,Data Sheet,DS-5312-J-011,0,DATA SHEET FOR ORIFICE PLATE & ORIFICE FLANGE ASSEMBLY,IFT,,
118,00,INSTRUMENTATION,Data Sheet,DS-5312-J-021,0,DATA SHEET FOR LEVEL GAUGE,IFT,,
119,00,INSTRUMENTATION,Data Sheet,DS-5312-J-022,0,DATA SHEET FOR LEVEL TRANSMITTERS,IFT,,
120,00,INSTRUMENTATION,Data Sheet,DS-5312-J-031,0,DATA SHEET FOR PRESSURE GAUGES,IFT,,
121,00,INSTRUMENTATION,Data Sheet,DS-5312-J-032,0,DATA SHEET FOR ELECTRONIC TRANMITTERS,IFT,,
122,00,INSTRUMENTATION,Data Sheet,DS-5312-J-051,0,DATA SHEET FOR CONTROL VALVES,IFT,,
123,00,INSTRUMENTATION,Data Sheet,DS-5312-J-052,1,DATA SHEET FOR EMERGENCY SHUTDOWN VALVES,IFT,,
124,00,INSTRUMENTATION,Data Sheet,DS-5312-J-053,1,DATA SHEET FOR ON/OFF VALVES & MOV,IFT,,
