AREA,UNIT,DISC,DOCUMENT NUMBER,REV,TITLE,STATUS,ORIGINATOR,TYPE
COMMON,001,PI,0401413-ADD-1300-060,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - PIPING FLEXIBILITY ANALYSIS,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1300-070,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION PIPE SUPPORTS,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1300-100,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION PIPING TIE-INS,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1300-185,0,"ADDENDUM TO DESIGN GENERAL SPECIFICATION - FABRICATION, HANDLING AND INSTALLATION OF PROCESS AND UTILITY PIPING",IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1310-011,0,ADDENDUM TO DGS-1310-011 DESIGN GENERAL SPECIFICATION - CHECK VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1310-012,0,ADDENDUM TO DGS-1310-012 DESIGN GENERAL SPECIFICATION - BALL VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1310-013,0,ADDENDUM TO DGS-1310-013 - BUTTERFLY VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1310-014,0,ADDENDUM TO DGS-1310-014 DESIGN GENERAL SPECIFICATION GATE VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1310-015,0,ADDENDUM TO DGS-1310-015 DESIGN GENERAL SPECIFICATION - GLOBE VALVES,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1470-009,0,ADDENDUM TO DGS-1470-009 REQUIREMENTS FOR FIBER REINFORCED PLASTIC (FRP) PIPES AND FITTINGS,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-6000-003,0,"ADDENDUM TO DGS-6000-003 DESIGN GENERAL SPECIFICATION - ACOUSTIC INSULATION OF PIPE, VALVES AND FLANGES",IFD,WORLEY,DOCUMENT
