SL. No,"Item No
(As per Bidder)",Discipline,EPC Package Identification,Enquiry Package Reference,Reference Document / Drawing,"Classification (Legal, Technical &/or Commercial)",Exception / Query,Company's Response ,TENDER BULLETIN NO.
49,3,Electrical,,,"Tender Bulletin Number TB-R003
S.No. 12",,"Please note that the requested IPCS details are essential at the bidding stage to assess the required modification and to form the basis of our proposal as well as to submit a comprehensive proposal from OEM.

Bidder reiterates the request to provide the following details of existing system:
1) OEM of existing IPCS System
2) Building Location of existing IPCS System
3) All relevant drawings such as GA Drawing, System Architecture, etc.",Bidder are encouraged to conduct site visit for data collection,TB-R005
50,4,Electrical,,,"Tender Bulletin Number TB-R003
S.No. 13",,"Please note that the requested 11kV Switchgear details are essential at the bidding stage to assess the required modification and to form the basis of our proposal as well as to submit a comprehensive proposal from OEM.

Bidder reiterates the request to provide the following details of existing switchgear:
1) OEM of existing 11kV Switchgear
2) Building Location of existing Switchgears
3) All relevant drawings such as GA Drawing, Schematic Diagram, etc.",Bidder are encouraged to conduct site visit for data collection,TB-R005
51,5,Electrical,,,"Tender Bulletin Number TB-R003
S.No. 13",,"Please note that the requested 3.3kV Switchgear details are essential at the bidding stage to assess the required modification and to form the basis of our proposal as well as to submit a comprehensive proposal from OEM.

Bidder reiterates the request to provide the following details of existing switchgear:
1) OEM of existing 3.3kV Switchgear
2) Building Location of existing Switchgears
3) All relevant drawings such as GA Drawing, Schematic Diagram, etc.",Bidder are encouraged to conduct site visit for data collection,TB-R005
52,6,Electrical,,,"Tender Bulletin Number TB-R003
S.No. 13",,"Please note that the requested 415V Switchgear details are essential at the bidding stage to assess the required modification and to form the basis of our proposal as well as to submit a comprehensive proposal from OEM.

Bidder reiterates the request to provide the following details of existing switchgear:
1) OEM of existing 415V Switchgear
2) Building Location of existing Switchgears
3) All relevant drawings such as GA Drawing, Schematic Diagram, etc.",Bidder are encouraged to conduct site visit for data collection,TB-R005
53,7,General,,,New RSGP at RSHT2 Scope of Work,,Please clarify whether BOROUGE or AGES Specifications are to be used for this project.,AGES,TB-R005
54,8,General,,,New RSGP at RSHT2 Scope of Work,,"Bidder assumes that the New Buildings to be constructed in the New Facility will be the same as those listed in the previous RFT 6000066707 submitted on 22nd of Dec 2023.
COMPANY to confirm.","In Principle ,Yes
Size of each building will be verified by bidders",TB-R005
55,1,,,,"UAE Fire Code Requirements , Section 2.10, Table 1.18",Technical,"Subject: Applicability of UAE Fire Code Requirements to Sulphur Linear Storage Building

As per the AGES “Building Fire and Life Safety Specification,” the UAE Fire Code must be applied to all buildings. Based on the analysis conducted, Bidder seeks clarification regarding the applicability of the code to the Sulphur Linear Storage Building, given the following points:
1.	The UAE Fire Code is applicable to ""Storage/Warehouse"" buildings, defined as “an occupancy used primarily for the storage or sheltering of goods, merchandise, products, or vehicles.”
2.	Section 2.3, Table 1.1, specifies that for the storage of combustible dust, the occupancy category is classified as A2.
3.	Section 2.10, Table 1.18, imposes a maximum height limit of 15 meters for this type of storage building.

Due to technological constraints, the Sulphur Linear Storage Building cannot comply with the 15-meter height limit specified in the code.
Bidder kindly requests your guidance on whether the 15-meter height limitation applies to this specific building, or if an exception can be considered due to the unique requirements of the facility.","-	Bidder to provide the reference layout or drawing which they are using in their query / clarification.
-	Linear storage is curvature type (Curved structure), it is important to understand / depend on where the height is considered, additionally it is not the whole height used for storage.
-	The building height limitation as per UAE F&S Code table 1.8 is for rectangular type ceiling building mainly the 15-meter height restriction is for the smoke detection limitation (detection range). 
-	After award TQ shall be raised to UAE F&S to get their approvals on the 15-meter limitation. 
-	Bidder shall continue with the same building height however all F&G detectors mainly smoke detectors shall be provided with height maximum limitation of 15-m to meet UAE F&S Code requirements. ",TB-R008
56,2,,,,"Presentation to bidders, UTILITIES",Technical,"Subject: Clarifications Required for Utilizing the Existing Firewater Pumping Station at RSHT-2

The Bidder seeks clarification on the following points to confirm the feasibility of using the existing firewater pumping station at RSHT-2 to meet the firewater demand for the new facilities:
1.	Compliance with AGES Requirements:
Bidder lacks sufficient details to evaluate whether the current design of the existing pumping station complies with AGES standards. Kindly confirm if the existing design meets the relevant AGES requirements or if compliance with AGES is not required for this Existing Firewater Pumping Station.
2.	Diesel Tank Sizing:
Bidder does not have information on whether the capacity of the existing diesel tank complies with NFPA20 requirements (i.e., 8 hours of operation per diesel pump, totaling 16 hours). Please confirm if the current diesel tank is adequately sized or if adjustments will be required.
3.	Simultaneous Coverage Enhanced Design Basis:
Please confirm whether the Simultaneous Coverage Enhanced Design Basis, as per AGES-PH-03-002, is not intended to be applied to calculate the maximum firewater demand. If this design basis is required, we kindly request information about all facilities protected by this firewater pumping station to accurately evaluate the Enhanced Design Basis.
4.	Existing Firewater Network:
We need details of the existing firewater network to evaluate the tie-ins and any potential works required on the underground network (UG)

Your clarifications on these points are essential for finalizing our evaluation. We appreciate your prompt response to ensure alignment with project requirements.","
-	Bidder to understand that the project scope is to add one new linear storage to another 2 available, the design shall be restricted based on ONE fire scenario at any given time, at current the existing firewater system is adequate to the available 2 linear storage, all UG/AG FWS network details shall be provided after award, Ruwais SGP, NGL and LNG has gone under FW upgrade recently the same details shall be provided to the winner bidder. ",TB-R008
57,3,,,,General,Technical, The Contractor understands that the Fire Truck and Breathing Apparatus Recharging Station are not part of this project. ,-	Bidder Understanding is Correct,TB-R008
58,4,,,,HSE-RM-ST02 HSEIA,Technical,"The Bidder understands that a new HSEIA must be developed from scratch for the greenfield sulphur handling project during the detailed engineering phase.
 
Since it has been confirmed that the HSEIA developed in FEED for the brownfield scope is no longer applicable, the Bidder assumes that all studies marked as required under the ""Concept"" and ""FEED"" columns in accordance with HSE-RM-ST02 shall now be developed during the detailed engineering phase and the update schedule from Detail Engineering onwards shall follow those in HSE-RM-ST02",-	Bidder Understanding is Correct,TB-R008
59,1,SOW,,,"SCOPE OF WORK Package 1 for SGP upgrade (RFT 6000066707 revised), Utilities Connection",,"BIDDER will NOT consider all the tie-ins of piping, E/I, telecom, fire fighting and relevant routing development of design at current stage as the basic inputs are not available.
Please confirm.","The neccessary information/details for relevant utility tie-in's and interfaces shall be provided to Bidder for tentative routing and interface development with other existing facilities. However, Bidder is requested to provide anticipated utilities requirements/consumptions for new sulphur granulation plant in RSHT-2. Also, the Bidder shall indicate requirements for developing interfaces with RSHT-2 and Bourouge with regards to E/I/T, fire fighting etc...",TB-R009
60,2,SOW,,,General,,"SCOPE OF WORK Package 1 for SGP (RFT 6000066707- Revised) mentioned that all design elements are consistent with AGES/DGS standards.
Please provide the latest AGES/DGS standards. ",The list of the latest AGES/DGS standards to be followed are provided part of the company responses.,TB-R009
61,3,SOW,,,General,,"According EXIHIBIT - A.07 QUOTE""Construction / Pre-commissioning / COMMISSIONING / TEST RUN"" ""This covers the cost of  labour, construction plant and other materials and consumables required for the fabrication, installation, pre-commissioning, COMMISSIONING and TEST RUN of the INSTALLATIONS. The costs of supplying water, power, compressed air, fuel, etc. are also included here as per the provisions of the AGREEMENT"" UNQUOTE
BIDDER understands the  cost is for project costruction propose shall include in Lump sum, but the uitility consumables (like power, Steam, instrument air, Nitrogen, Water, etc.) for commissioning if OUT of BIDDER's scope.
Please confirm BIDDER's understanding is correct.","Bidder understanding is correct the costs of supplying water, power, compressed air, fuel, etc refer to Indirect construction cost/purpose only.

All other Project utilities are sourced from bourouge-3/ RSHT2",TB-R009
62,4,SOW,,,General,,"The Ruwais port could be used for project Equipments transportation.
Please confirm BIDDER's understanding is correct.",Bidder to communicate to Ruwais port directly.,TB-R009
63,5,TSF,,,General,,"The field TSF and lay down area is tentative planned to be placed on the south side of the New T2 Plant. This area will been applied and approved according COMPANY requirements. 
Please confirm.",Bidder shall perform site visit to understand the site conditions and company will be review the same based on QRA inputs.,TB-R009
64,6,PM,,,General,,"The new T2 area will be surrounded by a temporary fence during project execution, BIDDER own work permit system could be applied and approved according to COMPANY requirements. 
Please confirm BIDDER's understanding is correct.
And COMPANT to specify the detailed requirements of the fence and security if any.",Confirmed.,TB-R009
65,7,Procurement,,,GENERAL,,"COMPANY will apply tax exemption list and share with BIDDER in advance.
Please confirm BIDDER's understanding is correct.","Bidders understanding is incorrect. Please note there is no such ""tax exmption list"" applicable in the agreement. Bidder is requested to substantiate his understanding.",TB-R009
66,8,Procurement,,,GENERAL,,"Refer to EXHIBIT - B.16 , QUOTE""A Applienbie to Non . Abu Dhabi based VENDORS. Copy of Agency Agreement with an Abu Dhabi COMPANY endorsed by the required UAE authorities, Pre-qualificatlon of any additional VENDOR may be approved subject to CONTRACTOR's assurance of compllance with the local Agency Requirement prior to importation of goods into the UA.E, COPANY will not issue the Cusioms Clearance Authorisation letlers unll CONTRACTOR proves this requirement has been complied""UNQUOTE 

For those Non-AVL vendors, BIDDER would like to clarify the requirement if BIDDER proposed Chinese vendors(Manufacture) during bidding phase and excuation phase, so it is mandatory to follow this requirement through Agency Agreement with and Abu Dhabi COMPANY or not ? 
In another way, Whether COMPANY can accept BIDDER to issue the PO to Chinese vendors directly without through Abu Dhabi COMPANY（Agency） 
",Bidder to propose the assumed vendors as part of the technical submission for company reviews.,TB-R009
67,9,Procurement,,,GENERAL,,"Refer to EXHIBIT - B.16, QUOTE"" B. Experience and Capability Requirements"""" 9. Proven Design (not a prototype)""UNQUOTE

Please COMPANY to clarify what document that vendor shall provide based on  the requriement, if possible whether can provide one example to BIDDER.",Bidder to provide list of previous relevant experience in the same industry complying the code & standards for company review.,TB-R009
68,10,Procurement,,,GENERAL,,"Refer to EXHIBIT - B.16.3.4.3, BIDDER wants to clarify, as long as TBE is approved by COMPANY, CONTRACTOR can issue the PO directly to vendors without submit Award Recommendation, only if COMPANY requires and inform BIDDER no later than TBE approval, and BIDDER shall follow the B.16.3.2.5. 
Please confirm BIDDER's understanding is correct.",Confirmed.,TB-R009
